연도,분기,지역,평균,중앙값,분산
2020,3,충북,85.34469257210499,91.0,217.98544584486402
2020,4,충북,71.138191156408,75.0,463.1539863032856
2021,1,충북,65.20354232227871,67.0,507.76769195634967
2021,2,충북,69.82638224984066,74.0,543.1888695614526
2021,3,충북,83.08320664663249,88.0,235.0324974157984
2021,4,충북,76.82532655534608,83.0,411.53427060219883
2022,1,충북,63.20861211185452,65.0,474.5732689996371
2022,2,충북,64.0274967750696,66.0,537.0968591228784
2022,3,충북,83.06374756368035,88.0,243.81362919841044
2022,4,충북,75.3836561600727,81.0,422.8650568284922
2023,1,충북,63.56991653041907,66.0,548.7091114913804
2023,2,충북,67.81403878153972,71.0,571.4627095365395
2023,3,충북,84.51540399798421,91.0,225.30710031302135
2023,4,충북,75.1732970027248,79.0,394.9978121170366
2018,1,충남,69.73152204306086,71.0,384.3507537453139
2018,2,충남,76.25799475452078,81.0,397.98221205160024
2018,3,충남,79.80517977120029,83.0,257.03377273808223
2018,4,충남,70.94975656388253,71.0,385.96070364238267
2019,1,충남,67.32948998299207,68.0,400.3336278035808
2019,2,충남,72.61471640265712,77.0,463.8342646543847
2019,3,충남,83.50641376375464,88.0,226.2115818920231
2019,4,충남,73.88035424178786,73.0,319.11482296012036
2020,1,충남,70.9517848597952,72.0,366.52564018953035
2020,2,충남,74.5931308804406,79.0,445.4345767457546
2020,3,충남,86.180325367612,91.0,178.55233490328862
2020,4,충남,69.87155382966387,70.0,373.824864847915
2021,1,충남,70.67236835027701,72.0,404.5104386944096
2021,2,충남,74.18495292268014,78.0,447.2844746837821
2021,3,충남,81.92073773565609,84.0,207.76342675310323
2021,4,충남,74.19151039623382,75.0,324.45946279461987
2022,1,충남,67.22489075741525,67.0,361.2478260246462
2022,2,충남,72.04272832295744,76.0,431.2371871456117
2022,3,충남,83.06317706534368,87.0,196.10543977342968
2022,4,충남,73.2979553163149,75.0,332.5786296111972
2023,1,충남,66.76798524005562,68.0,415.1139136322104
2023,2,충남,74.41198715855914,80.0,458.54286510747886
2023,3,충남,85.85955025956909,90.0,165.6247398673985
2023,4,충남,75.50914989186491,77.0,296.97069167308604
2018,1,경남,59.19825544586958,59.0,583.2807004222007
2018,2,경남,75.24353754159007,80.0,445.8335402427329
2018,3,경남,83.18098403952551,87.0,217.81376042508683
2018,4,경남,69.45192373247279,72.0,515.3200546487898
2019,1,경남,58.51303020638753,58.0,473.807801141808
2019,2,경남,71.76556288590037,76.0,508.5060539154592
2019,3,경남,85.94512484197219,90.0,185.303509408984
2019,4,경남,70.98801652091292,73.0,425.7517664186528
2020,1,경남,65.98721137393943,66.0,503.75063905884826
2020,2,경남,71.27071178529755,76.0,524.72489632686
2020,3,경남,87.05670801442773,91.0,168.96706601804377
2020,4,경남,64.09733910451997,64.0,452.615113406592
2021,1,경남,62.71110518035734,63.0,495.6551993966148
2021,2,경남,70.54883222687359,74.0,482.88658375031713
2021,3,경남,84.74176111140126,88.0,179.49966118611897
