연도,분기,지역,습도_평균,습도_중앙값,습도_분산,기온_평균,기온_분산,강수량_평균,강수량_분산,질병건수,이산화황_평균,이산화질소_평균,오존_평균,일산화탄소_평균,미세먼지_평균,초미세먼지_평균,이산화황_분산,이산화질소_분산,오존_분산,일산화탄소_분산,미세먼지_분산,초미세먼지_분산
2021,3,경기,78.7891820813188,81.0,274.5958078582411,24.166666666666668,5.002222222222226,144.20000000000002,431.3866666666646,134.0,0.0026451612903225,0.0110752688172042,0.0327204301075268,0.3795698924731181,22.161290322580644,11.24731182795699,6.16024973985432e-07,1.2370678691178166e-05,1.7384206266620417e-05,0.0054965892010637,23.576135969476244,11.347439010290204
2021,4,경기,72.3508568544412,75.0,445.00748997951706,6.733333333333333,36.015555555555565,42.0,600.4266666666671,,0.002752688172043,0.0225483870967741,0.0183333333333333,0.4946236559139785,39.29032258064516,21.967741935483872,4.012024511504222e-07,4.463475546305932e-05,1.2308243727598564e-05,0.0071753959995375,65.51786333680195,38.31078737426292
2022,1,경기,61.628899329283726,62.0,465.1391298623808,0.3999999999999997,19.546666666666663,34.300000000000004,1687.82,11.0,0.0026881720430107,0.0235376344086021,0.0242795698924731,0.489247311827957,43.9010989010989,26.580645161290324,3.006127876055036e-07,4.117331483408487e-05,3.626592669672794e-05,0.0099919065787952,15.693515275932858,16.996184530003468
2022,2,경기,65.23561730845573,67.0,520.1698768609061,17.766666666666666,12.908888888888873,159.13333333333333,36913.54888888888,165.0,0.0021075268817204,0.0129247311827956,0.0430326086956521,0.3193548387096774,34.87777777777778,17.150537634408604,3.110186148687709e-07,1.7833044282576023e-05,2.487937145557656e-05,0.0052167880679847,103.30728395061728,18.62249971094924
2022,3,경기,80.87504403240786,85.0,263.08891965428535,23.766666666666666,5.662222222222224,352.56666666666666,29905.41555555553,0.0,0.0018387096774193,0.0106129032258064,0.0316559139784946,0.3129032258064516,22.52173913043478,11.956989247311828,2.428026361429067e-07,1.2925424904613252e-05,1.6698809110879867e-05,0.0060700659035726,15.727788279773154,7.869117817088681
2022,4,경기,70.52025300679254,73.0,456.9695606012256,5.5,54.68666666666666,67.16666666666667,2053.6288888888894,,0.0023548387096774,0.0216774193548387,0.0181720430107526,0.4139784946236558,36.72043010752688,20.913978494623656,3.364550815123135e-07,4.383142559833507e-05,1.2701583998150072e-05,0.0072239565267661,60.24442132038386,26.96034223609666
2018,1,경남,59.19825544586958,59.0,583.2807004222007,3.533333333333333,15.13555555555556,78.5,4392.806666666666,4.0,0.004076923076923,0.0193076923076923,0.0282962962962962,0.4923076923076923,43.34615384615385,23.76923076923077,7.633136094674557e-07,1.4213017751479292e-05,5.635665294924554e-05,0.006094674556213,24.457100591715985,5.792899408284024
2018,2,경남,75.24353754159007,80.0,445.8335402427329,18.266666666666666,11.21555555555556,162.0666666666667,1007.6155555555532,2.0,0.0042222222222222,0.0148148148148148,0.0446296296296296,0.3703703703703703,46.2962962962963,21.62962962962963,6.172839506172839e-07,1.5262002743484226e-05,2.2529492455418387e-05,0.0080109739368998,106.35665294924556,10.899862825788752
2018,3,경남,83.18098403952551,87.0,217.81376042508683,25.166666666666668,9.10888888888884,227.9333333333333,3322.4088888888946,5.0,0.0039259259259259,0.0114814814814814,0.0317407407407407,0.3444444444444444,28.59259259259259,13.25925925925926,1.3278463648834025e-06,1.0027434842249655e-05,1.1821673525377227e-05,0.0106172839506172,42.53772290809328,15.229080932784637
2018,4,경남,69.45192373247279,72.0,515.3200546487898,8.666666666666666,20.562222222222218,91.43333333333334,6864.748888888887,,0.0034074074074074,0.0198148148148148,0.0233076923076923,0.4407407407407407,39.629629629629626,19.03703703703704,6.858710562414265e-07,3.659533607681755e-05,2.4905325443786987e-05,0.0150068587105624,77.6406035665295,19.665294924554185
