연도,분기,지역,평균,중앙값,분산
2022,2,충북,56.01800000000001,52.34,85.05061714285712
2022,3,충북,38.374,35.89,106.06851142857143
2022,4,충북,58.12266666666666,57.92,16.2938780952381
2023,1,충북,62.41066666666667,62.3,9.383149523809523
2023,2,충북,50.01294117647059,49.81,8.89650955882353
2023,3,충북,38.82888888888889,40.735,28.816457516339874
2023,4,충북,53.59722222222222,55.71,59.9470565359477
2018,1,충남,56.97500000000001,55.41,27.69568529411763
2018,2,충남,50.98722222222222,50.67,20.47811535947713
2018,3,충남,52.58166666666667,51.8,36.70062647058824
2018,4,충남,58.535000000000004,58.385,31.083685294117657
2019,1,충남,58.64555555555556,58.67,32.49235555555555
2019,2,충남,52.680555555555564,51.315,110.22151143790849
2019,3,충남,38.69388888888889,37.44,107.84141339869281
2019,4,충남,54.278888888888886,53.135000000000005,19.772622222222225
2020,1,충남,56.10222222222223,56.375,77.16463006535947
2020,2,충남,53.561666666666675,48.81,211.26612058823525
2020,3,충남,32.19555555555556,30.33,141.1395202614379
2020,4,충남,57.065000000000005,55.635000000000005,22.448508823529426
2021,1,충남,57.98222222222223,56.504999999999995,20.868465359477128
2021,2,충남,48.23166666666666,48.285,29.06676764705882
2021,3,충남,42.51764705882353,43.7,54.21504411764706
2021,4,충남,54.23166666666666,53.485,13.259767647058815
2022,1,충남,60.021111111111104,65.10499999999999,96.24061045751633
2022,2,충남,57.45277777777778,63.004999999999995,223.47885653594773
2022,3,충남,39.14666666666667,39.68,81.01184705882353
2022,4,충남,56.58833333333334,57.495000000000005,25.473473529411763
2023,1,충남,63.63611111111111,63.900000000000006,11.371907516339865
2023,2,충남,50.20055555555555,49.68000000000001,5.887134967320262
2023,3,충남,41.39555555555556,40.965,49.7255202614379
2023,4,충남,49.492777777777775,54.05,130.87400947712416
2018,1,경남,61.83309523809523,63.42,24.549377990708486
2018,2,경남,49.04309523809523,46.57,39.54249018583044
2018,3,경남,46.13000000000001,48.76,92.81403414634146
2018,4,경남,58.09499999999999,57.769999999999996,19.79386951219513
2019,1,경남,64.27214285714287,64.08500000000001,16.1278318815331
2019,2,경남,55.024761904761895,52.545,74.05202067363531
2019,3,경남,40.230476190476196,38.370000000000005,52.176092450638784
2019,4,경남,57.22238095238096,58.215,38.72644297328686
2020,1,경남,58.019523809523804,61.64,72.15552171893148
2020,2,경남,55.87738095238095,52.32,82.26755150987225
2020,3,경남,33.61976190476191,37.615,120.9799243321719
2020,4,경남,62.13333333333334,61.85,30.156247154471536
2021,1,경남,59.32880952380953,58.625,22.409757084785138
2021,2,경남,50.44476190476191,48.455,64.43276701509872
2021,3,경남,36.562619047619044,35.455,56.823527119628345
2021,4,경남,61.675238095238086,60.97,44.70206945412311
2022,1,경남,64.20023809523809,66.03999999999999,99.50215360046455
2022,2,경남,55.548571428571414,58.735,139.25591986062716
2022,3,경남,38.51714285714286,37.885,28.944664808362372
2022,4,경남,63.50761904761904,63.724999999999994,27.062403948896627
2023,1,경남,60.915238095238095,59.644999999999996,24.181103600464574
2023,2,경남,46.73428571428572,46.004999999999995,19.23454216027875
2023,3,경남,38.725,39.935,85.86416707317075
2023,4,경남,60.00404761904761,61.18,36.693351509872244
2018,1,경북,63.404358974358985,62.88,39.49029892037787
2018,2,경북,51.84307692307693,50.23,55.231100809716594
2018,3,경북,47.05820512820513,48.68,68.80379932523616
2018,4,경북,57.82794871794871,58.08,30.08422726045884
2019,1,경북,64.2230769230769,63.93,29.358063967611322
2019,2,경북,56.66000000000002,54.66,64.46115789473684
2019,3,경북,40.61230769230769,37.55,67.156591902834
2019,4,경북,54.93564102564103,54.17,33.53881470985154
2020,1,경북,56.869230769230775,58.25,56.9144178137652
2020,2,경북,57.38538461538461,55.41,55.233414979757086
2020,3,경북,33.9676923076923,35.88,89.0988761133603
2020,4,경북,61.085128205128186,60.08,38.82460458839407
2021,1,경북,60.03641025641025,60.43,50.02399203778677
2021,2,경북,48.327692307692296,46.33,50.038812955465595
2021,3,경북,37.302820512820524,35.02,77.39000499325236
