연도,분기,지역,이산화황_평균,이산화질소_평균,오존_평균,일산화탄소_평균,미세먼지_평균,초미세먼지_평균,이산화황_분산,이산화질소_분산,오존_분산,일산화탄소_분산,미세먼지_분산,초미세먼지_분산
2019,2,경기,0.0037204301075268826,0.019666666666666666,0.041580645161290314,0.43440860215053756,43.30107526881721,21.838709677419356,1.0401202451150422e-06,4.8286738351254484e-05,5.7899410336455084e-05,0.004837553474390103,133.6512891663776,27.554630593132153
2019,2,강원,0.002240740740740741,0.009000000000000001,0.047055555555555545,0.39999999999999997,37.0,18.814814814814813,6.642661179698217e-07,1.1703703703703703e-05,5.8459876543209866e-05,0.0070370370370370396,59.148148148148145,12.224965706447188
2019,2,충북,0.00296969696969697,0.013787878787878786,0.04254545454545454,0.3575757575757576,41.90909090909091,24.78787878787879,5.748393021120294e-07,2.028833792470156e-05,5.479338842975205e-05,0.0024426078971533536,47.1129476584022,9.985307621671257
2019,2,충남,0.004022222222222222,0.0112,0.04602222222222223,0.4755555555555555,41.51111111111111,23.333333333333332,1.7995061728395065e-06,1.3715555555555556e-05,5.6866172839506156e-05,0.005846913580246913,94.560987654321,19.599999999999998
2019,2,전북,0.0030714285714285713,0.01,0.04697619047619048,0.3666666666666667,42.404761904761905,23.142857142857142,1.2568027210884355e-06,1.1904761904761902e-05,5.1118480725623575e-05,0.004603174603174605,57.526643990929706,12.360544217687075
2019,2,전남,0.0037090909090909093,0.00889090909090909,0.04429090909090908,0.4745454545454545,36.127272727272725,19.945454545454545,1.624462809917355e-06,1.0315371900826443e-05,6.711537190082644e-05,0.010988429752066113,39.747438016528925,14.015206611570253
2019,2,경북,0.0037142857142857142,0.012085714285714286,0.04651428571428571,0.34571428571428575,38.21875,17.78125,4.03265306122449e-06,1.3164081632653062e-05,4.162122448979592e-05,0.004195918367346941,67.4833984375,12.6083984375
2019,2,경남,0.0035000000000000005,0.013261904761904763,0.048095238095238094,0.38095238095238093,40.166666666666664,18.38095238095238,9.642857142857142e-07,1.5336167800453515e-05,4.913378684807257e-05,0.004875283446712019,27.23412698412698,6.045351473922902
2019,2,제주,0.0028333333333333335,0.010166666666666666,0.05416666666666666,0.2833333333333333,37.833333333333336,19.666666666666668,8.055555555555555e-07,1.1138888888888887e-05,4.380555555555556e-05,0.0013888888888888883,39.138888888888886,5.555555555555556
2019,3,서울,0.0036666666666666666,0.019,0.028333333333333332,0.4000000000000001,24.0,15.666666666666666,2.2222222222222224e-07,2.0000000000000037e-06,9.555555555555553e-06,3.0814879110195774e-33,4.666666666666667,8.222222222222221
2019,3,경기,0.002913978494623656,0.014623655913978496,0.03082795698924732,0.39784946236559127,26.967741935483872,14.554347826086957,6.162562145912822e-07,2.6170193085905885e-05,2.9088680772343622e-05,0.007737310671753961,22.955948664585502,14.834002835538755
2019,3,강원,0.0019444444444444446,0.006518518518518519,0.02896296296296296,0.3592592592592593,23.98148148148148,12.481481481481481,3.8580246913580266e-07,6.768175582990397e-06,3.0257887517146776e-05,0.005377229080932787,14.610768175582992,10.175582990397807
2019,3,충북,0.0025151515151515154,0.009666666666666665,0.02687878787878788,0.33333333333333337,24.303030303030305,15.484848484848484,3.709825528007347e-07,7.19191919191919e-06,2.3076216712580353e-05,0.005858585858585859,11.847566574839302,7.401285583103765
2019,3,충남,0.003333333333333334,0.008177777777777777,0.03384444444444444,0.3999999999999999,25.955555555555556,15.6,1.2444444444444443e-06,6.857283950617283e-06,2.1509135802469134e-05,0.003555555555555556,12.042469135802465,8.328888888888889
2019,3,전북,0.0027857142857142863,0.006952380952380953,0.030452380952380956,0.3261904761904762,25.928571428571427,15.142857142857142,1.0255102040816327e-06,7.807256235827663e-06,2.162868480725624e-05,0.005742630385487528,23.447278911564627,11.503401360544219
2019,3,전남,0.0033870967741935487,0.006112903225806452,0.03025806451612903,0.40161290322580645,24.258064516129032,14.064516129032258,1.0437044745057235e-06,4.390478668054111e-06,3.4094693028095735e-05,0.008868366285119667,22.77211238293444,10.834547346514045
2019,3,경북,0.003055555555555556,0.008361111111111113,0.02994444444444444,0.32499999999999996,24.87878787878788,13.787878787878787,9.413580246913581e-07,5.3418209876543205e-06,1.2052469135802469e-05,0.005208333333333335,19.621671258034894,7.0156106519742885
2019,3,경남,0.002794871794871795,0.010589743589743591,0.030974358974358962,0.39487179487179497,28.41025641025641,13.21951219512195,7.784352399737016e-07,6.03681788297173e-06,1.274293228139382e-05,0.00869165023011177,13.780407626561468,8.903033908387863
2019,3,제주,0.002,0.007333333333333333,0.038166666666666675,0.21666666666666667,27.0,15.666666666666666,6.666666666666666e-07,7.555555555555554e-06,5.805555555555552e-06,0.004722222222222221,7.333333333333333,9.888888888888888
2019,4,서울,0.0036666666666666666,0.03133333333333333,0.015,0.6,37.666666666666664,21.0,2.2222222222222224e-07,2.022222222222223e-05,1.8666666666666672e-05,0.006666666666666664,22.88888888888889,28.666666666666668
2019,4,경기,0.003365591397849463,0.025881720430107526,0.015935483870967743,0.5236559139784945,42.68817204301075,23.301075268817204,7.050526072378308e-07,6.70505260723783e-05,2.257648283038502e-05,0.011913516013411953,48.666204185454966,47.97386981153889
2019,4,강원,0.0026226415094339627,0.012622641509433962,0.021622641509433962,0.46037735849056594,32.716981132075475,18.69811320754717,8.387326450694199e-07,2.7933072267710925e-05,3.842363830544678e-05,0.013713065147739402,48.27839088643646,51.26735493058028
2019,4,충북,0.0029393939393939396,0.018818181818181817,0.016575757575757577,0.5212121212121213,41.696969696969695,26.96969696969697,7.842056932966025e-07,3.4754820936639115e-05,1.5880624426078973e-05,0.02106519742883379,53.90817263544536,43.78696051423324
2019,4,충남,0.0032666666666666673,0.015377777777777777,0.022000000000000002,0.46666666666666673,40.666666666666664,23.8,7.288888888888888e-07,2.2368395061728394e-05,2.302222222222223e-05,0.00711111111111111,39.733333333333334,30.382222222222218
2019,4,전북,0.0027857142857142855,0.013071428571428572,0.024119047619047623,0.41190476190476194,35.904761904761905,21.357142857142858,5.493197278911564e-07,2.1066326530612243e-05,2.362868480725624e-05,0.009143990929705213,54.94331065759637,27.562925170068027
2019,4,전남,0.003348484848484848,0.010727272727272728,0.025666666666666667,0.44242424242424244,31.333333333333332,16.606060606060606,8.331037649219467e-07,1.3228650137741048e-05,3.285858585858586e-05,0.010018365472910927,32.16161616161616,13.602387511478419
2019,4,경북,0.0036750000000000003,0.014051282051282052,0.02275,0.4525,34.054054054054056,18.61111111111111,3.969375e-06,2.3689677843523996e-05,2.04375e-05,0.017993749999999996,65.24032140248356,33.12654320987654
2019,4,경남,0.0028400000000000005,0.01652,0.023559999999999998,0.42,32.22,16.02,5.343999999999999e-07,2.68896e-05,2.0486400000000004e-05,0.0088,22.2916,17.5396
